date,temperature_2m_mean,dew_point_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,winddirection_10m_dominant,precipitation_sum
1/1/2024,28.9,20,61,1011.1,4.2,10,0
1/2/2024,27.7,21.1,69,1011.2,3.4,9,0
1/3/2024,27.1,20.3,70,1011.4,4.2,13,0
1/4/2024,27,20.1,69,1011.9,3.9,32,0
1/5/2024,27.3,21,71,1012.2,3.2,29,0
1/6/2024,26.4,20.5,73,1012.5,3.7,32,0
1/7/2024,26.6,20.5,72,1012.8,3.6,17,0
1/8/2024,26.8,20.8,72,1012.2,3.4,57,0
1/9/2024,27.2,21,71,1011.3,3.4,188,0
1/10/2024,27.9,21,68,1010,4.6,172,0
1/11/2024,28,21.3,70,1010.7,4.7,167,0
1/12/2024,28.4,22,71,1010.2,5.2,156,0
1/13/2024,28.1,23.1,76,1010.5,4.7,133,0.7
1/14/2024,27,22.6,78,1012.3,5.2,12,3
1/15/2024,27.5,20.9,70,1012.2,5.6,27,0
1/16/2024,27,20,69,1011.8,4.7,29,0
1/17/2024,27,20.3,69,1011.7,4.7,45,0
1/18/2024,26.8,20.2,71,1011.4,3.8,51,0
1/19/2024,27.4,19.9,67,1010.7,3.5,196,0
1/20/2024,27.4,19.6,66,1010.7,4.1,165,0
1/21/2024,27.7,18.1,61,1011.6,4,206,0
1/22/2024,26.5,17.3,61,1012.2,5.1,3,0
1/23/2024,25.8,20.6,75,1013.1,5.2,48,0.2
1/24/2024,24.6,19.2,73,1015.3,8.2,4,0.2
1/25/2024,23.9,18.1,71,1017,8.3,4,0.4
1/26/2024,24.4,18,68,1017.4,6.8,6,0.2
1/27/2024,26.5,19.6,67,1015.8,5.7,10,0
1/28/2024,27.5,20.4,67,1015.2,5.2,100,0
1/29/2024,27.5,20.6,68,1015,4.8,46,0
1/30/2024,26.8,21.9,75,1014.4,4.1,33,0.1
1/31/2024,27.4,21.4,72,1014,3.7,158,0
2/1/2024,28.3,22.1,72,1013.5,5.1,162,0
2/2/2024,28.9,22.7,73,1012.4,6.2,170,0
2/3/2024,29.2,23.4,73,1012.3,5.7,166,0.1
2/4/2024,30.2,21.9,66,1012.7,4.5,203,0
2/5/2024,29.8,21.2,64,1012.6,3.8,199,0
2/6/2024,29.3,19.5,62,1013,4.1,191,0
2/7/2024,28.9,19.3,67,1011.9,4.2,188,0
2/8/2024,28.8,20.7,69,1010.5,5,178,0
2/9/2024,28.9,22.6,74,1012,6.8,158,0
2/10/2024,28.3,24.4,81,1014.5,6.6,117,1
2/11/2024,26.9,18.5,62,1017.3,6.6,21,0
2/12/2024,26.4,16.9,58,1016.7,5.9,35,0
2/13/2024,26.7,17.8,62,1015,4.3,24,0
2/14/2024,27.3,18.1,61,1013.2,3.8,344,0
2/15/2024,28.3,20.2,64,1012.8,4,120,0
2/16/2024,28.8,23.4,75,1012.4,5.6,137,0.1
2/17/2024,28.8,23.6,76,1011.1,7.9,157,0.1
2/18/2024,28.6,23.2,75,1011.6,6.3,168,0.3
2/19/2024,28.6,22.4,73,1011.4,7.2,167,0
2/20/2024,29.5,23,72,1010.3,7.4,180,0
2/21/2024,29.4,23.1,72,1010.1,7.5,178,0
2/22/2024,29.5,23.6,74,1010.9,6.4,168,0
2/23/2024,29.7,23.4,72,1011.4,6.2,167,0
2/24/2024,29.6,23.4,72,1011.6,6.3,157,0.1
2/25/2024,30.2,22.6,68,1011.2,6.4,155,0.3
2/26/2024,29.7,24,73,1011.3,5.7,121,0.8
2/27/2024,30,22.3,66,1010.8,6.2,157,0
2/28/2024,29.6,22.1,67,1009.6,5.9,160,0
2/29/2024,29.8,23.2,70,1010,6.5,159,0.1
3/1/2024,30.1,23.1,69,1010.5,5.9,163,0.1
3/2/2024,30,23.7,71,1010.7,7,145,0.2
3/3/2024,30.5,23.5,69,1010.2,6.4,140,0.2
3/4/2024,31.2,22.9,66,1009.1,6.2,189,0
3/5/2024,31.4,20.5,62,1008.4,6.1,204,0
3/6/2024,30.7,22,66,1007.3,6,176,0
3/7/2024,30.6,22.8,68,1007.2,5.9,166,0
3/8/2024,30.2,23.8,72,1008,8.2,164,0
3/9/2024,30.7,23.8,69,1009.4,7.9,164,0
3/10/2024,30.9,23.6,69,1011.2,7.3,167,0
3/11/2024,30.7,24.2,71,1012,7.7,157,0
3/12/2024,30.1,24.9,75,1011.8,6.3,162,0.8
3/13/2024,30.7,22.3,66,1011.1,6.6,199,0
3/14/2024,31.3,20.8,60,1010.5,6.2,214,0
3/15/2024,31,23.4,68,1010.2,7.2,166,0
3/16/2024,29.9,24.4,74,1011.4,7.5,156,0.1
3/17/2024,30.5,22.7,67,1011,7.1,164,0
3/18/2024,30.1,22.5,68,1009.8,6.7,164,0
3/19/2024,30.2,24.2,73,1010.4,7.9,160,0.2
3/20/2024,26.9,24.6,88,1013.6,5.2,64,17.2
3/21/2024,27.5,23,78,1012.1,5.3,42,0.1
3/22/2024,29.9,22.3,66,1008.4,4.7,191,0.1
3/23/2024,30.3,24.2,72,1008.2,7.8,169,0
3/24/2024,31,23.5,68,1009.7,6,178,0
3/25/2024,30.9,24.4,71,1009.7,6.5,160,0
3/26/2024,30.8,24.5,71,1010.9,7.7,159,0.3
3/27/2024,30.6,24.3,72,1012.7,5.5,149,0
3/28/2024,30.3,23.8,70,1010.5,4.8,183,0
3/29/2024,31.2,23.8,68,1009.9,7.6,166,0
