date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25,station,wind_dir_sin,wind_dir_cos,month_sin,month_cos
2022-05-14,25.3,28.3,1.1,5.2,1007.7,85,16.0,62T,-0.34202014332566866,-0.9396926207859084,0.49999999999999994,-0.8660254037844387
2022-05-15,25.3,28.1,33.0,6.1,1008.4,86,15.0,62T,-0.913545457642601,-0.4067366430758001,0.49999999999999994,-0.8660254037844387
2022-05-16,24.7,27.0,31.2,7.4,1008.9,88,9.0,62T,-0.9816271834476639,-0.19080899537654547,0.49999999999999994,-0.8660254037844387
2022-05-17,24.2,27.5,10.7,5.2,1008.1,84,10.0,62T,-0.34202014332566866,-0.9396926207859084,0.49999999999999994,-0.8660254037844387
2022-05-18,24.9,27.6,0.5,5.7,1008.9,86,9.0,62T,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387
2022-05-19,24.8,27.9,4.9,6.3,1009.5,84,13.0,62T,-0.9063077870366498,0.4226182617406996,0.49999999999999994,-0.8660254037844387
2022-05-20,24.9,28.4,0.5,5.8,1008.2,83,13.0,62T,-0.8480480961564261,0.5299192642332047,0.49999999999999994,-0.8660254037844387
2022-05-21,24.5,28.6,2.1,6.9,1006.7,80,16.0,62T,-0.9925461516413221,-0.12186934340514717,0.49999999999999994,-0.8660254037844387
2022-05-22,24.4,28.0,7.0,6.4,1005.4,82,14.0,62T,-0.882947592858927,-0.46947156278589075,0.49999999999999994,-0.8660254037844387
2022-05-23,25.3,28.6,0.2,5.5,1005.7,83,14.0,62T,0.37460659341591224,-0.9271838545667873,0.49999999999999994,-0.8660254037844387
2022-05-24,25.3,28.9,0.2,5.8,1007.7,82,18.0,62T,0.9510565162951535,0.30901699437494745,0.49999999999999994,-0.8660254037844387
2022-05-25,24.7,28.1,2.6,7.4,1009.1,83,15.0,62T,-0.9998476951563913,0.01745240643728313,0.49999999999999994,-0.8660254037844387
2022-05-26,24.0,28.5,0.0,9.8,1007.2,78,14.0,62T,-1.0,-1.8369701987210297e-16,0.49999999999999994,-0.8660254037844387
2022-05-27,23.8,29.0,0.0,10.7,1006.4,75,14.0,62T,-0.9743700647852351,-0.22495105434386525,0.49999999999999994,-0.8660254037844387
2022-05-28,23.6,28.3,0.1,9.7,1006.6,78,15.0,62T,-0.9975640502598242,-0.06975647374412558,0.49999999999999994,-0.8660254037844387
